Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
253,,,1,1,,,,,"Trelew, Chubut",,,,,
254,,,,,,,,,,,,,,
255,,1,,,,,,,,,,,,
256,,,,,,,,,,,,,,
257,,,1,1,,,,,"Buenos Aires, Buenos Aires","1,000",,,,Sindicato de Choferes de Camiones (SICHOCA)/Camuzzi Gas del Sur
258,,,,,,,,,,,,,,
259,,,1,,,,,1,"Buenos Aires, Buenos Aires",15,,,,Vendedores Callejeros
260,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,
264,,,1,,1,,,,"Buenos Aires, Buenos Aires",,,,,Trabajadores del Canal 9
265,,,,,,,,,,,,,,
266,,,1,1,,,,,"Buenos Aires, Buenos Aires",,,,,Movimiento Evita/Partido Comunista/Organizaciones Pol’ticas/Organizaciones Sociales
267,,,,,,,,,,,,,,
268,,1,,,,,,,,,,,,
269,,,,,,,,,,,,,,
270,,,1,1,,,,,"Buenos Aires, Buenos Aires/Mar de Ajo, Buenos Aires/La Plata, Buenos Aires/C—rdoba, C—rdoba/Rosario, Sante Fe/R’o Grande, Tierra del Fuego",,,,,
271,,,,,,,,,,,,,,
272,,1,,,,,,,,,,,,
273,,,,,,,,,,,,,,
274,,,1,1,,,,,"La Rioja, La Rioja","10,000",,,,Central de Trabajadores de la Argentina (CTA)/Federaci—n Universitaria de Buenos Aires (FUBA)/Organizaciones Ecologistas
275,,,,,,,,,,,,,,
276,,,1,,,,1,,"Santa Mar’a, Catamarca",6,1,,,Militantes Ambientalistas
277,,,,,,,,,,,,,,
278,,,1,1,,,,,"Buenos Aires, Buenos Aires",,,,,
279,,,,,,,,,,,,,,
280,,1,,,,,,,,,,,,
281,,,,,,,,,,,,,,
282,,,1,1,,,,,"La Rioja, La Rioja/Buenos Aires, Buenos Aires",,,,,ònion de Asambleas Ciudadanas (UAC)/Partidos de Izquierda
283,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,
287,,,1,,1,,,,"Tres de Febrero, Buenos Aires",,,,,
288,,,,,,,,,,,,,,
289,,1,,,,,,,,,,,,
290,,,,,,,,,,,,,,
291,,,1,,,,1,,"Monte Grande, Buenos Aires/La Plata, Buenos Aires/Bah’a Blanca, Buenos Aires/Comodoro Rivadavia, Chubut/Trelew, Chubut/Rosario, Sante Fe/Provincia de C—rdoba/Provincia de Mendoza/Provincia de Neuquen/Provincia de La Pampa",,,,,Sindicato de Choferes de Camiones (SICHOCA)/Correos del Sur/Camuzzi Gas del Sur/Asociaci—n Trabajadores de Estado (ATE)
292,,,,,,,,,,,,,,
293,,,1,,,,1,,"Florencio Varela, Buenos Aires",70,,,,"Champion, Sindicato de Industrias Qu’micas, Petroqu’micas, y Explosivas/Federaci—n de Trabajadores de Qu’micas y Petroqu’micas"
294,,,,,,,,,,,,,,
295,,1,,,,,,,,,,,,
296,,,,,,,,,,,,,,
297,,,1,,,,1,,Provincia de La Rioja,,,,,
